Indicator Name:,"Intentional homicide victims by sex, counts and rates per 100,000 population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator Definition:,Definitions: “Intentional Homicide” means unlawful death inflicted upon a person with the intent to cause death or serious injury. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total number of female/male victims of intentional homicide,,,,,,,,,,,,,,,,,,"Female/male victims of intentional homicide per 100,000 females/males",,,,,,,,,,,,,,,,
Americas,Caribbean,Anguilla,MD,Females,    ,,,,,,,,    ,    ,,,,    ,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Anguilla,MD,Males,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Antigua and Barbuda,MD/OAS,Females,,1,1,,,,,,5,,,,,,,,,,,1.7,2.8,,,,,,10.4,,,,,,,,
Americas,Caribbean,Antigua and Barbuda,MD/OAS,Males,,6,4,,,,,,11,,,,,,,,,,,15.5,9.2,,,,,,24.8,,,,,,,,
Americas,Caribbean,Aruba,MD,Females,,2,1,1,    ,1,1,    ,1,1,    ,    ,1,1,    ,,,,,4.1,2,2,    ,1.9,1.9,    ,1.9,1.9,    ,    ,1.9,1.8,    ,,
Americas,Caribbean,Aruba,MD,Males,,2,4,3,2,5,4,3,4,3,4,2,3,5,2,,,,,4.5,8.8,6.5,4.3,10.5,8.3,6.2,8.3,6.2,8.3,4.1,6.1,10.2,4.1,,
Americas,Caribbean,Bahamas,MD/CTS,Females,16,5,12,6,2,8,5,8,7,10,14,16,10,,,,,,10.8,3.3,7.7,3.7,1.2,4.7,2.9,4.6,3.9,5.5,7.6,8.5,5.3,,,,
Americas,Caribbean,Bahamas,MD/CTS,Males,58,38,40,44,42,44,56,70,66,77,80,111,101,,,,,,39.7,25.6,26.4,28.6,26.7,27.4,34.1,41.9,38.7,44.4,45.4,61.9,55.5,,,,
Americas,Caribbean,Barbados,MD/CTS,Females,5,4,8,11,1,9,2,6,4,3,8,2,2,7,3,3,,,3.6,3.2,5.3,7.8,0.6,6.4,1.1,4.2,2.8,2.1,5.5,1.4,1.4,4.8,2,2,
Americas,Caribbean,Barbados,MD/CTS,Males,15,21,18,22,21,20,33,19,19,16,23,25,20,17,22,28,,,11.6,15.8,13.4,16.8,16.1,15.1,25.4,14.3,14.3,12,17.1,18.6,14.8,12.6,16.2,20.6,
Americas,Caribbean,British Virgin Islands,MD,Females,,    ,    ,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,British Virgin Islands,MD,Males,,1,1,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Cayman Islands,MD/NSO,Females,1,1,,1,1,    ,1,1,    ,1,    ,,,    ,    ,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Cayman Islands,MD/NSO,Males,3,1,,2,4,3,    ,1,4,7,9,,,5,5,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Cuba,MD/MOH,Females,155,159,185,153,146,168,133,139,120,153,126,132,138,147,156,139,121,,2.8,2.9,3.3,2.7,2.6,3,2.4,2.5,2.1,2.7,2.2,2.3,2.4,2.6,2.7,2.4,2.1
Americas,Caribbean,Cuba,MD/MOH,Males,432,446,476,489,514,516,443,429,395,412,379,402,483,527,444,480,451,,7.7,7.9,8.5,8.7,9.1,9.1,7.8,7.6,7,7.3,6.7,7.1,8.5,9.2,7.8,8.4,7.9
Americas,Caribbean,Curaçao,PAHO,Females,,2,6,2,7,6,3,3,,,,,,,,,,,,2.9,8.8,2.9,10.3,8.7,4.3,4.1,,,,,,,,,
Americas,Caribbean,Curaçao,PAHO,Males,,8,33,41,34,20,15,23,,,,,,,,,,,,13.1,54.6,68.2,56.5,33,24.4,36.5,,,,,,,,,
Americas,Caribbean,Dominica,MD/OAS,Females,,1,    ,2,,,,,2,,2,    ,,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Dominica,MD/OAS,Males,,    ,9,6,,,,,5,,13,6,,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Dominican Republic,OAS/CTS,Females,,,,,,214,180,175,187,180,210,233,201,,187,,170,,,,,,,4.6,3.8,3.7,3.9,3.7,4.2,4.6,3.9,,3.6,,3.2
Americas,Caribbean,Dominican Republic,OAS/CTS,Males,,,,,,"2,180","1,964","1,936","2,207","2,195","2,264","2,280","2,067",,"1,623",,"1,446",,,,,,,47.2,41.9,40.8,45.8,45,45.8,45.6,40.8,,31.3,,27.3
Americas,Caribbean,Grenada,CTS,Females,,,,,,3,3,2,2,3,2,1,5,2,3,2,3,,,,,,,5.8,5.8,3.8,3.8,5.7,3.8,1.9,9.5,3.8,5.7,3.8,5.6
Americas,Caribbean,Grenada,CTS,Males,,,,,,8,9,9,14,4,8,3,9,4,5,4,8,,,,,,,15.6,17.5,17.4,27,7.7,15.3,5.7,17,7.5,9.4,7.5,14.9
Americas,Caribbean,Guadeloupe,MD,Females,,,,,9,2,7,,8,5,,,,,,,,,,,,,4.2,0.7,2.9,,3.4,2.3,,,,,,,
Americas,Caribbean,Guadeloupe,MD,Males,,,,,17,21,17,,24,31,,,,,,,,,,,,,7.8,10.1,8.2,,11.3,14.5,,,,,,,
Americas,Caribbean,Haiti,GHD Estimate,Females,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,4.5,,,,
Americas,Caribbean,Haiti,GHD Estimate,Males,,,,,,,,,,,,,797,,,,,,,,,,,,,,,,,,15.7,,,,
Americas,Caribbean,Jamaica,CTS,Females,,,,,,186,152,151,165,156,145,119,127,130,100,116,135,,,,,,,13.4,10.9,10.8,11.7,11,10.2,8.4,8.9,9.1,7,8,9.3
Americas,Caribbean,Jamaica,CTS,Males,,,,,,"1,488","1,188","1,433","1,454","1,527","1,302","1,014",972,"1,071",905,"1,092","1,219",,,,,,,109.5,87,104.3,105.1,109.8,93.1,72.1,68.8,75.5,63.6,76.4,85.1
Americas,Caribbean,Martinique,MD,Females,,,,,,,5,5,4,3,,,,,,,,,,,,,,,2.4,2.6,2,1.4,,,,,,,
Americas,Caribbean,Martinique,MD,Males,,,,,,,18,18,13,8,,,,,,,,,,,,,,,9.7,9.5,6.9,4.4,,,,,,,
Americas,Caribbean,Montserrat,MD,Females,    ,    ,    ,    ,    ,    ,    ,,    ,,,,1,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Montserrat,MD,Males,    ,    ,    ,    ,    ,1,1,,1,,,,    ,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Puerto Rico,MD/NSO,Females,71,55,59,53,63,57,41,54,57,54,62,86,71,56,45,34,57,,3.6,2.8,3,2.7,3.2,2.9,2.1,2.8,2.9,2.8,3.2,4.5,3.7,2.9,2.4,1.8,3
Americas,Caribbean,Puerto Rico,MD/NSO,Males,624,692,722,734,734,714,707,676,758,847,955,"1,078",933,846,655,585,622,,34.2,37.9,39.6,40.3,40.5,39.5,39.2,37.6,42.2,47.3,53.5,60.5,52.5,47.7,37,33.1,35.3
Americas,Caribbean,Saint Kitts and Nevis,MD/CTS,Females,,2,    ,    ,    ,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Saint Kitts and Nevis,MD/CTS,Males,,4,5,10,11,,,,,24,19,33,,,,,,,,,,,,,,,,,,,,,,,
Americas,Caribbean,Saint Lucia,MD,Females,2,,7,2,4,,,,,6,6,7,6,5,    ,,,,3.1,,8.1,2.6,4.7,,,,,7,6.3,8.3,7.1,5.6,    ,,
